tournament_id,tournament_name,team_id,team_name,team_code,performance,year,start_date,end_date,host_country,winner,tournament_n_teams,is_womens,federation_name,region_name,confederation_name,confederation_code,is_host,is_champion,final_position,matches_played,wins,draws,losses,goals_for,goals_against,matches_extra_time,matches_penalty_shootout,goal_difference,yellow_cards,red_cards,sendings_off,stats_iso3,stats_iso3_substituted,hdi,life_expectancy,expected_schooling_years,mean_schooling_years,gni_per_capita,gii,planetary_hdi,gdp_per_capita,u5_mortality,u5_mortality_snapshot_year,indicator_year_used
WC-1934,1934 FIFA Men's World Cup,T-31,Germany,DEU,third-place match,1934,1934-05-27,1934-06-10,Italy,Italy,16,0,Germany Football Association,Europe,Union of European Football Associations,UEFA,0,0,3.0,4,3,0,1,11,8,0,0,3,,,,DEU,0,,,,,,,,,,,
WC-1934,1934 FIFA Men's World Cup,T-36,Hungary,HUN,quarter-finals,1934,1934-05-27,1934-06-10,Italy,Italy,16,0,Hungary Football Association,Europe,Union of European Football Associations,UEFA,0,0,,2,1,0,1,5,4,0,0,1,,,,HUN,0,,,,,,,,,,,
WC-1934,1934 FIFA Men's World Cup,T-41,Italy,ITA,final,1934,1934-05-27,1934-06-10,Italy,Italy,16,0,Italian Football Association,Europe,Union of European Football Associations,UEFA,1,1,1.0,5,4,1,0,12,3,2,0,9,,,,ITA,0,,,,,,,,,,,
WC-1934,1934 FIFA Men's World Cup,T-48,Netherlands,NLD,round of 16,1934,1934-05-27,1934-06-10,Italy,Italy,16,0,Royal Dutch Football Association,Europe,Union of European Football Associations,UEFA,0,0,,1,0,0,1,2,3,0,0,-1,,,,NLD,0,,,,,,,,,,,
WC-1934,1934 FIFA Men's World Cup,T-61,Romania,ROU,round of 16,1934,1934-05-27,1934-06-10,Italy,Italy,16,0,Romanian Football Federation,Europe,Union of European Football Associations,UEFA,0,0,,1,0,0,1,1,2,0,0,-1,,,,ROU,0,,,,,,,,,,,
WC-1934,1934 FIFA Men's World Cup,T-73,Spain,ESP,quarter-finals,1934,1934-05-27,1934-06-10,Italy,Italy,16,0,Royal Spanish Football Federation,Europe,Union of European Football Associations,UEFA,0,0,,3,1,1,1,4,3,1,0,1,,,,ESP,0,,,,,,,,,,,
WC-1934,1934 FIFA Men's World Cup,T-74,Sweden,SWE,quarter-finals,1934,1934-05-27,1934-06-10,Italy,Italy,16,0,Swedish Football Association,Europe,Union of European Football Associations,UEFA,0,0,,2,1,0,1,4,4,0,0,0,,,,SWE,0,,,,,,,,,,,
WC-1934,1934 FIFA Men's World Cup,T-75,Switzerland,CHE,quarter-finals,1934,1934-05-27,1934-06-10,Italy,Italy,16,0,Swiss Football Association,Europe,Union of European Football Associations,UEFA,0,0,,2,1,0,1,5,5,0,0,0,,,,CHE,0,,,,,,,,,,,
WC-1934,1934 FIFA Men's World Cup,T-83,United States,USA,round of 16,1934,1934-05-27,1934-06-10,Italy,Italy,16,0,United States Soccer Federation,North America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,0,0,,1,0,0,1,1,7,0,0,-6,,,,USA,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-06,Belgium,BEL,round of 16,1938,1938-06-04,1938-06-19,France,Italy,15,0,Royal Belgian Football Association,Europe,Union of European Football Associations,UEFA,0,0,,1,0,0,1,1,3,0,0,-2,,,,BEL,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-09,Brazil,BRA,third-place match,1938,1938-06-04,1938-06-19,France,Italy,15,0,Brazilian Football Confederation,South America,South American Football Confederation,CONMEBOL,0,0,3.0,5,3,1,1,14,11,2,0,3,,,,BRA,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-19,Cuba,CUB,quarter-finals,1938,1938-06-04,1938-06-19,France,Italy,15,0,Football Association of Cuba,Caribbean,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,0,0,,3,1,1,1,5,12,1,0,-7,,,,CUB,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-21,Czechoslovakia,CSK,quarter-finals,1938,1938-06-04,1938-06-19,France,Italy,15,0,Football Association of the Czechoslovakia,Europe,Union of European Football Associations,UEFA,0,0,,3,1,1,1,5,3,2,0,2,,,,CZE,1,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-23,Dutch East Indies,IDN,round of 16,1938,1938-06-04,1938-06-19,France,Italy,15,0,Football Association of Indonesia,South East Asia,Asian Football Confederation,AFC,0,0,,1,0,0,1,0,6,0,0,-6,,,,IDN,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-30,France,FRA,quarter-finals,1938,1938-06-04,1938-06-19,France,Italy,15,0,French Football Association,Europe,Union of European Football Associations,UEFA,1,0,,2,1,0,1,4,4,0,0,0,,,,FRA,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-31,Germany,DEU,round of 16,1938,1938-06-04,1938-06-19,France,Italy,15,0,Germany Football Association,Europe,Union of European Football Associations,UEFA,0,0,,2,0,1,1,3,5,1,0,-2,,,,DEU,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-36,Hungary,HUN,final,1938,1938-06-04,1938-06-19,France,Italy,15,0,Hungary Football Association,Europe,Union of European Football Associations,UEFA,0,0,2.0,4,3,0,1,15,5,0,0,10,,,,HUN,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-41,Italy,ITA,final,1938,1938-06-04,1938-06-19,France,Italy,15,0,Italian Football Association,Europe,Union of European Football Associations,UEFA,0,1,1.0,4,4,0,0,11,5,1,0,6,,,,ITA,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-48,Netherlands,NLD,round of 16,1938,1938-06-04,1938-06-19,France,Italy,15,0,Royal Dutch Football Association,Europe,Union of European Football Associations,UEFA,0,0,,1,0,0,1,0,3,1,0,-3,,,,NLD,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-53,Norway,NOR,round of 16,1938,1938-06-04,1938-06-19,France,Italy,15,0,Norwegian Football Federation,Europe,Union of European Football Associations,UEFA,0,0,,1,0,0,1,1,2,1,0,-1,,,,NOR,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-57,Poland,POL,round of 16,1938,1938-06-04,1938-06-19,France,Italy,15,0,Polish Football Association,Europe,Union of European Football Associations,UEFA,0,0,,1,0,0,1,5,6,1,0,-1,,,,POL,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-61,Romania,ROU,round of 16,1938,1938-06-04,1938-06-19,France,Italy,15,0,Romanian Football Federation,Europe,Union of European Football Associations,UEFA,0,0,,2,0,1,1,4,5,1,0,-1,,,,ROU,0,,,,,,,,,,,
