tournament_id,tournament_name,team_id,team_name,team_code,performance,year,start_date,end_date,host_country,winner,tournament_n_teams,is_womens,federation_name,region_name,confederation_name,confederation_code,is_host,is_champion,final_position,matches_played,wins,draws,losses,goals_for,goals_against,matches_extra_time,matches_penalty_shootout,goal_difference,yellow_cards,red_cards,sendings_off,stats_iso3,stats_iso3_substituted,hdi,life_expectancy,expected_schooling_years,mean_schooling_years,gni_per_capita,gii,planetary_hdi,gdp_per_capita,u5_mortality,u5_mortality_snapshot_year,indicator_year_used,gdi,pop_total,urban_pct,tertiary_enrolment,stage_order,pts,tournament_rank,performance_score,norm_hdi,norm_life_expectancy,norm_mean_schooling_years,norm_expected_schooling_years,norm_gni_per_capita,norm_gdp_per_capita,norm_pop_total,norm_gdi,norm_gii,norm_urban_pct,norm_tertiary_enrolment,economic_score,indicators_used,overperformance
WC-1990,1990 FIFA Men's World Cup,T-06,Belgium,BEL,round of 16,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Royal Belgian Football Association,Europe,Union of European Football Associations,UEFA,0,0,,4,2,0,2,6,4,1,0,2,1.0,0.0,1.0,BEL,0,0.814,76.055,14.09537029,9.406848637,35675.32938,0.18,0.665,20600.3752789827,9.99114582279111,1990.0,1990.0,0.954,9.9595605,78.5554278990186,,4,6,11,0.5652173913043479,0.7306338028169014,0.7771591284671907,0.6174002379831351,0.46889060765645546,0.3564487579158048,0.2008792783257087,0.006758029959365389,0.7067901234567902,0.7707774798927614,0.7138658872232889,,0.5349603333697402,10,0.030257057934607645
WC-1990,1990 FIFA Men's World Cup,T-17,Costa Rica,CRI,round of 16,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Costa Rican Football Federation,Central America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,0,0,,4,2,0,2,4,6,0,0,-2,6.0,0.0,0.0,CRI,0,0.659,76.63,9.739709854,6.246158944,9381.0255,,0.635,1829.6687089559,16.9342952245376,1990.0,1990.0,,3.1582535,48.5798206865317,,4,6,12,0.5217391304347826,0.4577464788732395,0.791777896422851,0.36801763738918275,0.21613124156223312,0.08199346005907962,0.014823795864577115,0.001973468606472386,,,0.29928701930490453,,0.2789688747603175,8,0.24277025567446509
WC-1990,1990 FIFA Men's World Cup,T-61,Romania,ROU,round of 16,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Romanian Football Federation,Europe,Union of European Football Associations,UEFA,0,0,,4,1,1,2,4,3,1,1,1,7.0,0.0,0.0,ROU,0,0.709,69.729,12.47976971,8.498106819,13363.57669,0.52,0.641,1648.48522974542,31.3878823343145,1990.0,1990.0,0.938,22.836234,54.213790243794,,4,4,13,0.4782608695652174,0.5457746478873239,0.6163272570106527,0.5456993056381402,0.3751371609719678,0.12356262568785631,0.01302790291229364,0.0158164704005808,0.6574074074074074,0.31501340482573725,0.37720786689205393,,0.35849740496340143,10,0.11976346460181597
WC-1990,1990 FIFA Men's World Cup,T-16,Colombia,COL,round of 16,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Colombia Football Federation,South America,South American Football Confederation,CONMEBOL,0,0,,4,1,1,2,4,4,1,0,0,5.0,0.0,0.0,COL,0,0.614,68.644,9.167188807,6.340998417,8054.813305,,0.59,1474.8455285342,35.6866535611737,1990.0,1990.0,,32.6013925,69.4907571843537,,4,4,14,0.4347826086956522,0.3785211267605634,0.588742277476928,0.3755005973482324,0.18290779381151398,0.06815069150125513,0.011306783983566273,0.022686032378002877,,,0.588496586234676,,0.2770389861868423,8,0.1577436225088099
WC-1990,1990 FIFA Men's World Cup,T-84,Uruguay,URY,round of 16,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Uruguayan Football Association,South America,South American Football Confederation,CONMEBOL,0,0,,4,1,1,2,2,5,0,0,-3,9.0,0.0,0.0,URY,0,0.702,73.162,12.9682703,7.151282631,10742.34299,0.426,0.663,2995.36105663465,23.6577308765977,1990.0,1990.0,1.037,3.1170125,89.0930129250252,30.11083984375,4,4,15,0.3913043478260869,0.533450704225352,0.7036076576920146,0.43943309440894485,0.40348489406074023,0.09620265148322314,0.026378153253282986,0.0019444565217723927,0.9629629629629629,0.4410187667560322,0.8596063901498049,0.23523872236459287,0.4275753139889748,11,-0.036270966162887885
WC-1990,1990 FIFA Men's World Cup,T-48,Netherlands,NLD,round of 16,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Royal Dutch Football Association,Europe,Union of European Football Associations,UEFA,0,0,,4,0,3,1,3,4,0,0,-1,5.0,1.0,1.0,NLD,0,0.847,77.007,14.7744503,11.09854878,35604.21453,0.122,0.706,21322.1944802703,8.3175348148876,1990.0,1990.0,0.942,14.944548,68.9873866123858,,4,3,16,0.34782608695652173,0.7887323943661971,0.8013627234129105,0.7508776185753656,0.5082976815955081,0.35570647367706393,0.20803395943716574,0.010264852771091827,0.6697530864197531,0.8485254691689008,0.5815346988443533,,0.5523088958268311,10,-0.20448280887030934
WC-1990,1990 FIFA Men's World Cup,T-72,Soviet Union,SUN,group stage,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Football Federation of the Soviet Union,"Europe, Asia",Union of European Football Associations,UEFA,0,0,,3,1,0,2,4,4,0,0,0,3.0,1.0,1.0,RUS,1,0.741,68.535,12.65668964,9.652386365,21447.82422,0.457,,3494.06323242188,21.6552154845904,1990.0,1990.0,,148.0057035,73.7116088867188,52.3742599487305,6,3,17,0.30434782608695654,0.602112676056338,0.5859710675514199,0.636773489741504,0.3854038403913812,0.20794457296889018,0.03132129556784406,0.10387028216526359,,0.39946380697050937,0.6468732492331479,0.42533001649779806,0.40250642971440964,10,-0.0981586036274531
WC-1990,1990 FIFA Men's World Cup,T-05,Austria,AUT,group stage,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Austrian Football Association,Europe,Union of European Football Associations,UEFA,0,0,,3,1,0,2,2,3,0,0,-1,9.0,1.0,1.0,AUT,0,0.823,75.74,13.84039021,10.20033055,37786.54033,0.202,0.704,21596.068219998,9.50396535656281,1990.0,1990.0,0.939,7.678729,64.110852115312,,6,3,18,0.26086956521739135,0.7464788732394365,0.7691505860219154,0.6800070112536817,0.4540940907253423,0.37848520477383935,0.2107485994315833,0.005153518025503121,0.6604938271604939,0.7412868632707774,0.5140895879970365,,0.5159988161899609,10,-0.25512925097256955
WC-1990,1990 FIFA Men's World Cup,T-64,Scotland,SCO,group stage,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Scottish Football Association,Europe,Union of European Football Associations,UEFA,0,0,,3,1,0,2,2,3,0,0,-1,3.0,0.0,0.0,GBR,1,0.804,75.736,13.64140034,9.635440148,31075.28973,0.252,0.693,19095.4669984608,9.30085352960348,1990.0,1990.0,0.97,57.2104425,78.1091783885209,,6,3,19,0.21739130434782605,0.7130281690140846,0.7690488902448328,0.635436410788436,0.4425466907065838,0.30843435684798326,0.1859626082926608,0.03999792692436162,0.756172839506173,0.6742627345844504,0.7076940150220079,,0.5232584641931575,10,-0.3058671598453314
WC-1990,1990 FIFA Men's World Cup,T-26,Egypt,EGY,group stage,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Egyptian Football Association,Africa,Confederation of African Football,CAF,0,0,,3,0,2,1,1,2,0,0,-1,4.0,0.0,0.0,EGY,0,0.567,64.146,9.206990242,5.305645579,6131.438951,0.653,0.552,735.982935028025,85.6771610036008,1990.0,1990.0,0.82,57.2146305,43.5688827270165,13.5156497955322,6,2,20,0.17391304347826086,0.2957746478873238,0.47438537614725557,0.2938098879297773,0.1852174746574063,0.048074849842690705,0.003983168551487306,0.04000087308499602,0.29320987654320985,0.13672922252010722,0.22998303584465699,0.0935443583460789,0.19042843375954455,11,-0.01651539028128368
